Date Of Stop,Time Of Stop,SubAgency,Description,Location,Accident,Belts,Personal Injury,Property Damage,Commercial License,Commercial Vehicle,Alcohol,State,Year,Make,Model,Color,Violation Type,Charge,Contributed To Accident,Race,Gender,Driver State,DL State,Arrest Type
09/24/2013,17:11:00,"3rd district, Silver Spring",DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,8804 FLOWER AVE,No,No,No,No,No,No,No,MD,2008.0,FORD,4S,BLACK,Citation,13-401(h),No,BLACK,M,MD,MD,A - Marked Patrol
12/20/2012,00:41:00,"2nd district, Bethesda",DRIVING WHILE IMPAIRED BY ALCOHOL,NORFOLK AVE /  ST ELMO AVE,No,No,No,No,No,No,No,MD,2005.0,AUDI,4S,GRAY,Citation,21-902(b1),No,WHITE,M,MD,MD,A - Marked Patrol
07/20/2012,23:12:00,"5th district, Germantown",FAILURE TO STOP AT STOP SIGN,WISTERIA DR @ WARING STATION RD,No,No,No,No,No,No,No,MD,2002.0,TOYT,4S,RED,Citation,21-707(a),No,ASIAN,F,MD,MD,A - Marked Patrol
03/19/2012,16:10:00,"2nd district, Bethesda",DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,CLARENDON RD @ ELM ST. N/,No,No,No,No,No,No,No,VA,1996.0,HONDA,CIVIC,SILVER,Citation,21-1124.2(d2),No,HISPANIC,M,VA,VA,A - Marked Patrol
12/01/2014,12:52:00,"6th district, Gaithersburg / Montgomery Village",FAILURE STOP AND YIELD AT THRU HWY,CHRISTOPHER AVE/MONTGOMERY VILLAGE AVE,No,No,No,Yes,No,No,No,MD,2001.0,HONDA,ACCORD,SILVER,Citation,21-403(b),No,BLACK,F,MD,MD,A - Marked Patrol
06/09/2012,21:19:00,"3rd district, Silver Spring",OCCUPANT UNDER 16 NOT RESTRAINED BY SEATBELT,2068 HARLEQUIN TERRACE,No,No,No,No,No,No,No,MD,2004.0,CHEVROLET,IMPALA,SILVER,Citation,22-412.3(b),No,WHITE,F,MD,MD,A - Marked Patrol
09/11/2012,21:47:00,"4th district, Wheaton",PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON REVOKED LICENSE AND PRIVILEGE,TWIG RD AT GOOD HOPE RD,No,Yes,No,No,No,No,No,MD,2009.0,DODGE,CHARGER,BLACK,Citation,16-303(d),No,BLACK,M,MD,MD,A - Marked Patrol
11/04/2012,01:14:00,"4th district, Wheaton",DRIVING UNDER THE INFLUENCE OF ALCOHOL PER SE,RANDOLPH RD @ SPRINGTREE DR,No,No,No,No,No,No,No,MD,2003.0,FORD,TAURUS,WHITE,Citation,21-902(a2),No,BLACK,M,MD,MD,A - Marked Patrol
08/27/2012,00:04:00,"5th district, Germantown","PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17-106, 26-204, 26-206, 27-103",GERMANTOWN RD@CLOPPER,No,No,No,No,No,No,No,MD,2004.0,INFINITY,QX4,SILVER,Citation,16-303(h),No,WHITE,M,MD,MD,A - Marked Patrol
05/21/2012,16:47:00,"2nd district, Bethesda",OPERATOR NOT RESTRAINED BY SEATBELT,CLUB DR/CONNECTICUT AVE,No,No,No,No,No,No,No,MD,2005.0,TOYT,4 RUNNER,BLACK,Citation,22-412.3(b),No,BLACK,M,MD,MD,A - Marked Patrol
