SubAgency,Description,Location,Belts,Personal Injury,Property Damage,CommercialLicense,CommercialVehicle,Alcohol,State,Make,Model,Color,ViolationType,Charge,ContributedToAccident,Race,Gender,Driver State,DL State,ArrestType
"1st district, Rockville",DRIVING VEH. ON HWY. WITH UNPAID REGISTRATION FEE,WOOTTON PKWY @ WOOTTON OAKS CT,No,No,No,No,No,No,MD,INFINITY,G35,BLACK,Citation,13-401(d),No,WHITE,M,MD,MD,A - Marked Patrol
"1st district, Rockville","MOTOR VEH. MFR. AFTER JUNE 1, 1971, W/O ADEQUATE TAIL LAMPS",ROBINDALE DR / VEIRS MILL RD,No,No,No,No,No,No,MD,VOLVO,850,GREEN,Warning,22-204(a),No,OTHER,M,MD,MD,A - Marked Patrol
"2nd district, Bethesda",DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,OLD GEORGETOWN RD ON N/B I270,No,No,No,No,No,No,MD,HOND,4S,GRAY,Citation,13-401(h),No,BLACK,F,MD,MD,S - License Plate Recognition
"2nd district, Bethesda",EXCEEDING MAXIMUM SPEED: 30 MPH IN A POSTED 25 MPH ZONE,NB 355 @ WEST VIRGINIA,No,No,No,No,No,No,MD,AUDI,4DR,BLACK,Citation,21-801.1,No,OTHER,M,MD,MD,Q - Marked Laser
"4th district, Wheaton",EXCEEDING MAXIMUM SPEED: 59 MPH IN A POSTED 35 MPH ZONE,SB RT 97 AT EVANS LA 3,No,No,No,No,No,No,MD,CHRYSLER,TOWN AND COUNTR,SILVER,Citation,21-801.1,No,BLACK,F,MD,MD,Q - Marked Laser
"4th district, Wheaton",DRIVER CHANGING LANES WHEN UNSAFE,GEORGIA AT CONNECTICUT,No,No,No,No,No,No,MD,KIA,SPORTAGE,BLACK,Citation,21-309(b),No,HISPANIC,F,MD,MD,A - Marked Patrol
Headquarters and Special Operations,DRIVER FAILURE TO STOP FOR PEDESTRIAN IN CROSSWALK,MONTGOMERY VILLAGE AVE/ WHETSTONE DRIVE,No,No,No,No,No,No,MD,FORD,FUSION,MAROON,Citation,21-502(a2),No,ASIAN,M,MD,MD,B - Unmarked Patrol
"1st district, Rockville",DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,VEIRS MILL RD/NIMITZ AVE,No,No,No,No,No,No,MD,MAZD,TRIBUTE,BLUE,Citation,13-401(h),No,BLACK,M,MD,MD,A - Marked Patrol
"2nd district, Bethesda",OPERATOR NOT RESTRAINED BY SEATBELT,CONNECTICUT AVE @ KNOWLES AVE,No,No,No,No,No,No,MD,TOYT,TK,GOLD,Citation,22-412.3(b),No,BLACK,M,MD,MD,A - Marked Patrol
"1st district, Rockville",FAILURE TO STOP AT STOP SIGN,SELFRIDGE RD AT GRIDLEY RD,No,No,No,No,No,No,MD,HOND,4D,SILVER,Citation,21-707(a),No,WHITE,F,MD,MD,A - Marked Patrol
